# time_flux P1 P2 Z PO4 Psupply
3.320000000000000284e+01 2.559498463173710547e-01 3.110449567126994941e-01 4.687772431013581542e-01 2.612359472131883797e-01 5.000000000000000278e-02
3.330000000000000426e+01 2.555413327346633401e-01 3.114079120369639408e-01 4.679622806715387773e-01 2.614318798007867484e-01 5.000000000000000278e-02
3.339999999999999858e+01 2.555413327346633401e-01 3.114079120369639408e-01 4.679622806715387773e-01 2.614318798007867484e-01 5.000000000000000278e-02
3.350000000000000000e+01 2.551542088226360083e-01 3.117765788816906358e-01 4.671433010229840144e-01 2.616184546646280196e-01 5.000000000000000278e-02
3.360000000000000142e+01 2.551542088226360083e-01 3.117765788816906358e-01 4.671433010229840144e-01 2.616184546646280196e-01 5.000000000000000278e-02
3.370000000000000284e+01 2.547881899841978326e-01 3.121507514083959878e-01 4.663207391855125894e-01 2.617956941099041646e-01 5.000000000000000278e-02
3.380000000000000426e+01 2.547881899841978326e-01 3.121507514083959878e-01 4.663207391855125894e-01 2.617956941099041646e-01 5.000000000000000278e-02
3.389999999999999858e+01 2.544429903083664235e-01 3.125302233365004345e-01 4.654950210312949199e-01 2.619636261572867997e-01 5.000000000000000278e-02
3.400000000000000000e+01 2.544429903083664235e-01 3.125302233365004345e-01 4.654950210312949199e-01 2.619636261572867997e-01 5.000000000000000278e-02
3.410000000000000142e+01 2.541183227591106708e-01 3.129147880485015909e-01 4.646665632874408258e-01 2.621222843989766127e-01 5.000000000000000278e-02
3.420000000000000284e+01 2.541183227591106708e-01 3.129147880485015909e-01 4.646665632874408258e-01 2.621222843989766127e-01 5.000000000000000278e-02
3.430000000000000426e+01 2.538138993532939591e-01 3.133042386941101709e-01 4.638357735572362084e-01 2.622717078557698644e-01 5.000000000000000278e-02
3.439999999999999858e+01 2.538138993532939591e-01 3.133042386941101709e-01 4.638357735572362084e-01 2.622717078557698644e-01 5.000000000000000278e-02
3.450000000000000000e+01 2.535294313283029677e-01 3.136983682933951467e-01 4.630030503495105032e-01 2.624119408349654403e-01 5.000000000000000278e-02
3.460000000000000142e+01 2.535294313283029677e-01 3.136983682933951467e-01 4.630030503495105032e-01 2.624119408349654403e-01 5.000000000000000278e-02
3.470000000000000284e+01 2.532646292999238269e-01 3.140969698389749487e-01 4.621687831156335857e-01 2.625430327889582971e-01 5.000000000000000278e-02
3.480000000000000426e+01 2.532646292999238269e-01 3.140969698389749487e-01 4.621687831156335857e-01 2.625430327889582971e-01 5.000000000000000278e-02
3.489999999999999858e+01 2.530192034110040900e-01 3.144998363972806854e-01 4.613333522936607367e-01 2.626650381743851903e-01 5.000000000000000278e-02
3.500000000000000000e+01 2.530192034110040900e-01 3.144998363972806854e-01 4.613333522936607367e-01 2.626650381743851903e-01 5.000000000000000278e-02
3.510000000000000142e+01 2.527928634714162182e-01 3.149067612089095913e-01 4.604971293591612058e-01 2.627780163117108270e-01 5.000000000000000278e-02
3.520000000000000284e+01 2.527928634714162182e-01 3.149067612089095913e-01 4.604971293591612058e-01 2.627780163117108270e-01 5.000000000000000278e-02
3.530000000000000426e+01 2.525853190898149636e-01 3.153175377880772512e-01 4.596604768822847298e-01 2.628820312451601859e-01 5.000000000000000278e-02
3.539999999999999858e+01 2.525853190898149636e-01 3.153175377880772512e-01 4.596604768822847298e-01 2.628820312451601859e-01 5.000000000000000278e-02
3.550000000000000000e+01 2.523962797976616601e-01 3.157319600211711541e-01 4.588237485906380697e-01 2.629771516029190126e-01 5.000000000000000278e-02
3.560000000000000142e+01 2.523962797976616601e-01 3.157319600211711541e-01 4.588237485906380697e-01 2.629771516029190126e-01 5.000000000000000278e-02
3.570000000000000284e+01 2.522254551659655064e-01 3.161498222643990830e-01 4.579872894375598968e-01 2.630634504575432020e-01 5.000000000000000278e-02
3.580000000000000426e+01 2.522254551659655064e-01 3.161498222643990830e-01 4.579872894375598968e-01 2.630634504575432020e-01 5.000000000000000278e-02
3.589999999999999858e+01 2.520725549151724421e-01 3.165709194405204596e-01 4.571514356754008412e-01 2.631410051865314959e-01 5.000000000000000278e-02
3.600000000000000000e+01 2.520725549151724421e-01 3.165709194405204596e-01 4.571514356754008412e-01 2.631410051865314959e-01 5.000000000000000278e-02
3.610000000000000142e+01 2.519372890186120095e-01 3.169950471346418275e-01 4.563165149334316717e-01 2.632098973330295744e-01 5.000000000000000278e-02
3.620000000000000284e+01 2.519372890186120095e-01 3.169950471346418275e-01 4.563165149334316717e-01 2.632098973330295744e-01 5.000000000000000278e-02
3.630000000000000426e+01 2.518193677998936675e-01 3.174220016890524909e-01 4.554828463000177297e-01 2.632702124666498333e-01 5.000000000000000278e-02
3.639999999999999858e+01 2.518193677998936675e-01 3.174220016890524909e-01 4.554828463000177297e-01 2.632702124666498333e-01 5.000000000000000278e-02
3.650000000000000000e+01 2.517185020246253679e-01 3.178515802970706683e-01 4.546507404087163917e-01 2.633220400443989084e-01 5.000000000000000278e-02
3.660000000000000142e+01 2.517185020246253679e-01 3.178515802970706683e-01 4.546507404087163917e-01 2.633220400443989084e-01 5.000000000000000278e-02
3.670000000000000284e+01 2.516344029868081700e-01 3.182835810958667411e-01 4.538204995279666032e-01 2.633654732717206626e-01 5.000000000000000278e-02
3.680000000000000426e+01 2.516344029868081700e-01 3.182835810958667411e-01 4.538204995279666032e-01 2.633654732717206626e-01 5.000000000000000278e-02
3.689999999999999858e+01 2.515667825902436761e-01 3.187178032582241860e-01 4.529924176540575664e-01 2.634006089636707904e-01 5.000000000000000278e-02
3.700000000000000000e+01 2.515667825902436761e-01 3.187178032582241860e-01 4.529924176540575664e-01 2.634006089636707904e-01 5.000000000000000278e-02
3.710000000000000142e+01 2.515153534252748124e-01 3.191540470831970566e-01 4.521667806070759354e-01 2.634275474062490741e-01 5.000000000000000278e-02
3.720000000000000284e+01 2.515153534252748124e-01 3.191540470831970566e-01 4.521667806070759354e-01 2.634275474062490741e-01 5.000000000000000278e-02
3.730000000000000426e+01 2.514798288411621008e-01 3.195921140856181619e-01 4.513438661295471888e-01 2.634463922179244300e-01 5.000000000000000278e-02
3.739999999999999858e+01 2.514798288411621008e-01 3.195921140856181619e-01 4.513438661295471888e-01 2.634463922179244300e-01 5.000000000000000278e-02
3.750000000000000000e+01 2.514599230143829134e-01 3.200318070844085927e-01 4.505239439874992868e-01 2.634572502113975978e-01 5.000000000000000278e-02
3.760000000000000142e+01 2.514599230143829134e-01 3.200318070844085927e-01 4.505239439874992868e-01 2.634572502113975978e-01 5.000000000000000278e-02
3.770000000000000284e+01 2.514553510131253278e-01 3.204729302896390797e-01 4.497072760736910424e-01 2.634602312556507120e-01 5.000000000000000278e-02
3.780000000000000426e+01 2.514553510131253278e-01 3.204729302896390797e-01 4.497072760736910424e-01 2.634602312556507120e-01 5.000000000000000278e-02
3.789999999999999858e+01 2.514658288582334866e-01 3.209152893882883384e-01 4.488941165127597333e-01 2.634554481383431512e-01 5.000000000000000278e-02
3.800000000000000000e+01 2.514658288582334866e-01 3.209152893882883384e-01 4.488941165127597333e-01 2.634554481383431512e-01 5.000000000000000278e-02
3.810000000000000142e+01 2.514910735808461584e-01 3.213586916286442774e-01 4.480847117680556990e-01 2.634430164286175047e-01 5.000000000000000278e-02
3.820000000000000284e+01 2.514910735808461584e-01 3.213586916286442774e-01 4.480847117680556990e-01 2.634430164286175047e-01 5.000000000000000278e-02
3.830000000000000426e+01 2.515308032769573154e-01 3.218029459032910045e-01 4.472793007499440421e-01 2.634230543403847657e-01 5.000000000000000278e-02
3.840000000000000568e+01 2.515308032769573154e-01 3.218029459032910045e-01 4.472793007499440421e-01 2.634230543403847657e-01 5.000000000000000278e-02
3.850000000000000000e+01 2.515847371591140025e-01 3.222478628306245652e-01 4.464781149253644332e-01 2.633956825961638049e-01 5.000000000000000278e-02
3.860000000000000142e+01 2.515847371591140025e-01 3.222478628306245652e-01 4.464781149253644332e-01 2.633956825961638049e-01 5.000000000000000278e-02
3.870000000000000284e+01 2.516525956054521673e-01 3.226932548348377949e-01 4.456813784284515689e-01 2.633610242915541133e-01 5.000000000000000278e-02
3.880000000000000426e+01 2.516525956054521673e-01 3.226932548348377949e-01 4.456813784284515689e-01 2.633610242915541133e-01 5.000000000000000278e-02
3.890000000000000568e+01 2.517341002062622457e-01 3.231389362243173302e-01 4.448893081720299847e-01 2.633192047604241970e-01 5.000000000000000278e-02
